Time,A,B,C
1,12.1491,16.2263,0
2,15.5527,23.3832,1
3,19.0872,28.3577,2
4,21.7222,32.4331,3
5,23.9613,35.0547,4
6,25.7968,37.5937,5
7,27.7405,39.8601,6
8,29.8587,42.1959,7
9,31.73,45.4027,8
10,33.9859,47.5499,9
11,35.2736,50.7494,10
12,37.3439,54.0754,11
13,39.4733,56.8102,12
14,40.7954,59.2968,13
15,41.6132,60.7895,14
16,43.2391,62.2567,15
17,44.7637,64.7299,16
18,46.0942,66.8309,17
19,46.7771,67.8321,19
20,47.5084,69.6375,20
1,12.6169,19.4131,2
2,16.2095,26.8247,3
3,19.6285,33.734,4
4,22.0058,38.9939,5
5,24.4606,43.1898,6
6,27.4144,47.8689,7
7,29.2963,52.8727,8
8,31.9352,56.9352,9
9,33.5509,61.5152,10
10,35.5984,64.7774,11
11,37.6551,68.9962,12
12,39.4815,72.3056,13
13,41.6215,75.7279,14
14,42.8924,78.1258,15
15,44.1123,80.2934,16
16,45.4815,82.1105,17
17,46.353,83.9344,18
18,47.7789,85.8864,19
19,48.1424,87.6517,21
20,48.412,89.4703,22
1,10.8146,13.5994,0
2,13.6599,19.0717,0.2
3,16.6173,23.4709,1.5
4,19.2483,26.8401,2
5,20.9779,30.2691,3
6,23.3044,33.2033,4
7,24.3929,35.9955,5
8,27.4422,39.3991,6
9,29.631,43.6667,7
10,32.0952,45.5785,8
11,33.2891,48.9133,9
12,35.5017,51.4574,10
13,36.5204,54.0433,11
14,37.8673,56.5277,12
15,38.6446,59.7698,13
16,40.3197,61.0284,14
17,41.3741,62.142,15
18,41.8895,63.5426,16
19,42.2823,63.1943,18
20,42.4932,62.3154,19
